surface	headwords	categories	krdict_ids	stdict_ids	opendict_ids
랍시고	-랍시고	connective	80309	422584:422584001	138789
래	-래	final|unclassified	77309	421646:421646001	1368019|139789
래요	-래요	final	81093	422169:422169001	1368020|140207
랴	-랴|-랴01|-랴02	connective|final|unclassified	79260|80308	101170:101170001|421873:421873001	139234|139235|514576|518875
랴마는	-랴마는	connective	-	101173:101173001	493316
러	-러|-러-	connective|unclassified	80300	420996:420996001	138849|493263
러니	-러니	connective	-	420787:420787001	493264
러니라	-러니라	final	-	100288:100288001	346174
러니이까	-러니이까	final	-	420788:420788001	139051
러니이다	-러니이다	final	-	101540:101540001	382634
러라	-러라	final|unclassified	-	101185:101185001	346196|346197
러이까	-러이까	final	-	421891:421891001	140020
러이다	-러이다	final	-	100106:100106001	140021
런가	-런가	final|unclassified	-	421032:421032001	140236|419489
런들	-런들	connective	-	424659:424659001	140666
려	-려|-려-	connective|unclassified	80301	103187:103187001	139648|139649|38893|683
려거든	-려거든	connective	80334	417120:417120001	139847
려고	-려고	connective|final	68846	419620:419620001	334080|337466|346255
려나	-려나	final	79262	104165:104165001	140057
려니	-려니	final|unclassified	86544	103706:103706001	140253|140254
려니와	-려니와	connective	86083	104028:104028001	330840|335002
려든	-려든	connective	-	418700:418700001	140490
려마	-려마	unclassified	-	104092:104092001	140494
려면	-려면	connective	80311	421880:421880001	38946|64477|698
려무나	-려무나	final	79266	102960:102960001	140499
련	-련	final	76564	421445:421445001	383023
련마는	-련마는	connective	86545	422318:422318001	143602
련만	-련만	connective|unclassified	86546	421884:421884001	143606
렴	-렴	final	79340	103161:103161001	143411
렵니까	-렵니까	final	86548	421869:421869001	419876
렵니다	-렵니다	final	86549	103221:103221001	144053
렷다	-렷다	final	79268	421635:421635001	39037|604
로고	-로고|-로고03	final	-	421415:421415001	419877
로고나	-로고나	final|unclassified	-	103256:103256001	383173
로구나	-로구나	final	79271	417132:417132001	143882
로구려	-로구려	final	79405	104168:104168001	143883
로구료	-로구료	final|unclassified	-	104169:104169001	530376
로구만	-로구만|로구만	unclassified	92511	104170:104170001	38943|695
로구먼	-로구먼	final|unclassified	83734	417297:417297001	143884
로구면	-로구면	unclassified	-	104171:104171001	143885
로군	-로군	final|unclassified	81575	417298:417298001	551225|555476
로다	-로다	final|unclassified	89451	101385:101385001	144488|144489|419963
로되	-로되	connective	86551	104657:104657001	514574|518828
로라	-로라	final|unclassified	-	417638:417638001	142505|346552|346553
로서니	-로서니	unclassified	-	103018:103018001	346554
로세	-로세	final	81535	103087:103087001	567062
리	-리|-리-|-리-13|-리14	final|unclassified	52609|52612	418970:418970001|420303:420303001	142176|142177|40151|514505|518941|63|64537
리까	-리까	final	-	422697:422697001	1|39911
리니	-리니	connective	-	418663:418663001	39919|9
리니라	-리니라	final	-	106322:106322001	383094
리다	-리다	final	-	107480:107480001	10|39963
리라	-리라|-리라03	final	79280	106325:106325001	29|39970
리로다	-리로다	final	-	106383:106383001	38|40024
리만치	-리만치	connective	-	106424:106424001	493473
리만큼	-리만큼	connective	87692	422691:422691001	140890
리오	-리오|-리오02	final	79282	106720:106720001	144411
마	-마|-마10	final	76232	108090:108090001	383168
매	-매|-매15	connective|unclassified	86085	420420:420420001	145725|145727|420099
며	-며|-며02	connective	80253	115430:115430001	39723|6130
면	-면|-면10	connective	80259	425077:425077001	39832|6239|64059|70167
면서	-면서	connective	80266	425380:425380001	331388|335117
므로	-므로	connective	80268	427932:427932001	495110
사	-사|-사35	unclassified	-	164765:164765001	182142|424148
사오	-사오-|-사오-05	unclassified	-	438493:438493001	188130
사오니까	-사오니까	final	-	436361:436361001	188132
사오리까	-사오리까	final	-	439690:439690001	351678
사오리다	-사오리다	final	-	164739:164739001	13137|44377
사오리이까	-사오리이까	final	-	439691:439691001	188307
사오리이다	-사오리이다	final	-	164740:164740001	351679
사오이다	-사오이다	final	-	439693:439693001	188310
사옵	-사옵-	unclassified	-	168642:168642001	185238
사옵나이까	-사옵나이까	final	-	438658:438658001	498329
사옵나이다	-사옵나이다	final	-	168649:168649001	185239
사옵니까	-사옵니까	final	-	438659:438659001	461420
사옵니다	-사옵니다	final	-	168650:168650001	185240
사옵디까	-사옵디까	final	-	438660:438660001	185241
사옵디다	-사옵디다	final	-	168651:168651001	351316
사옵시	-사옵시-	unclassified	-	168652:168652001	185242
사와	-사와|-사와02	connective	-	168945:168945001	185244
사외다	-사외다	unclassified	-	169233:169233001	185463
사이다	-사이다|-사이다04	final	-	161001:161001001	187941
삽	-삽-|-삽-02	unclassified	-	168588:168588001	189947
세	-세|-세11	final	78404	445280:445280001	352684
세나	-세나	final	78469	187103:187103001	197292
세요	-세요|-세요03	final|unclassified	86558	442947:442947001	197327
셔요	-셔요	final|unclassified	86559	191144:191144001	198841
소	-소|-소17	final	66509	449608:449608001	462814
소다	-소다|-소다02	final|unclassified	-	185094:185094001	14068|44875
소서	-소서|-소서06	final	78535	445685:445685001	200506
소이까	-소이까	final	-	193336:193336001	463216
소이다	-소이다	unclassified	-	451295:451295001	201183
쇠다	-쇠다|-쇠다03	unclassified	-	195106:195106001	536677
습네	-습네	final|unclassified	86561	199600:199600001	209181|537761
습늰다	-습늰다	final	-	200215:200215001	464098
습니까	-습니까	final	79402	200217:200217001	353969
습니다	-습니다	final	79398	451593:451593001	209362
습디까	-습디까	final	80536	451739:451739001	426848
습디다	-습디다	final	80530	201133:201133001	206243
습딘다	-습딘다	final	-	451740:451740001	206245
습죠	-습죠	final|unclassified	80550	203097:203097001	207675
습지요	-습지요	final	80547	450564:450564001	207684
시	-시|-시-|-시-19	unclassified	80330	450469:450469001	207094|207095|207096|207102
시라	-시라|-시라02	final	-	450900:450900001	206927
시압	-시압	final	-	450860:450860001	208426
시어요	-시어요	final	86562	450344:450344001	209049
십사	-십사|-십사02	final	80933	203561:203561001	575098
십시다	-십시다	final	68885	203577:203577001	427870
십시오	-십시오	final	66884	208040:208040001	575142
아	-아|-아-|-아10	connective|final|unclassified	86093	455571:455571001	214906|214908|30245|354595|61871|68329
아다	-아다	connective|unclassified	86096	453342:453342001	213042|213043
아다가	-아다가	connective	86098	213408:213408001	574878
아도	-아도|-아도04	connective	80206	454663:454663001	213597
아라	-아라	final|unclassified	80664	455192:455192001	214583|214755|442504|446166|501583
아라우	-아라우|-아라우02	final|unclassified	-	207649:207649001	215124
아서	-아서|-아서02	connective	80220	215392:215392001	16746|48085|657958
아서야	-아서야	connective	86567	-	-
아야	-아야|-아야02	connective	80222	456523:456523001	16683|47987
아야만	-아야만	connective	80232	217880:217880001	501844
아야지	-아야지|-아야지01|-아야지02	connective|final	80239|80773	217882:217882001|456351:456351001	217321|479614|483088
아요	-아요	final	86568	215777:215777001	218518
아지이다	-아지이다	final	-	454940:454940001	218006
았	-았-	unclassified	66954	457085:457085001	479558|483099|485064
았었	-았었-	unclassified	68836	218917:218917001	465357
았자	-았자	unclassified	-	219164:219164001	220306
야	-야|-야-|-야11	connective|final|unclassified	80806|86101	220410:220410001	221913|355382|355383
야만	-야만	connective	85767	-	-
야지	-야지	final	86104	-	-
어	-어|-어-|-어06	connective|final|unclassified	86094	460564:460564001	222887|223109|30358|465667|61949|68374
어다	-어다	connective	86097	460537:460537001	222682
어다가	-어다가	connective	86099	226512:226512001	502452
어도	-어도|-어도02	connective	80207	458663:458663001	222892
어라	-어라	final|unclassified	80682	456584:456584001	16174|428888|48118
어서	-어서|-어서03	connective	80215	232386:232386001	553057|556597|657959
어서야	-어서야	connective	86569	-	-
어야	-어야|-어야02	connective	80224	231215:231215001	405789|409280
어야만	-어야만	connective	80233	460875:460875001	223625
어야지	-어야지|-어야지01|-어야지02	connective|final	80240|80771	231217:231217001|231218:231218001	442739|446295|576073
어요	-어요	final	86571	459552:459552001	224385
어지이다	-어지이다	final	-	221967:221967001	428893
언마는	-언마는	unclassified	-	455825:455825001	224422
언만	-언만	unclassified	-	232438:232438001	392214
언정	-언정|-언정02	connective	-	227882:227882001	465677
었	-었-	unclassified	68719	462343:462343001	17115|48993|65682
었었	-었었-	unclassified	68838	235322:235322001	226827
었자	-었자	unclassified	-	533732:533732001	1658499
에라	-에라|-에라02	final|unclassified	-	229012:229012001	227049|539733
에요	-에요	final	86106	229460:229460001	539876
여	-여|-여-|-여23	connective|final|unclassified	86095	232251:232251001	226886|227091|30440|429181|62066|68418
여다	-여다	connective	86144	519070:519070001	1369642
여다가	-여다가	connective	86143	519071:519071001	1369641
여도	-여도|-여도05	connective	80203	234318:234318001	392378
여라	-여라|-여라02	final	80706	228005:228005001	16939|48695
여서	-여서|-여서03	connective	80210	459168:459168001	1358429|17558|48547
여서야	-여서야	connective	86584	-	-
여야	-여야|-여야03	connective	80225	457374:457374001	553092|556612
여야만	-여야만	connective	80236	519072:519072001	1369643
여야지	-여야지|-여야지01|-여야지02	connective|final	80241|80776	232175:232175001|232176:232176001	17382|227935|49173
여요	-여요|-여요04	final	86585	233418:233418001	228156
여지이다	-여지이다	final	-	230690:230690001	539740
연만	-연만|-연만03	unclassified	-	236237:236237001	226080
였	-였-	unclassified	68723	461054:461054001	18267|49028|66005
였었	-였었-	unclassified	68840	238700:238700001	230185
였자	-였자	unclassified	-	238701:238701001	429531
오	-오|-오-|-오-18|-오19	final|unclassified	86107|86112	241320:241320001|241321:241321001	229408|232851|232852|576749
오니까	-오니까	final	-	237683:237683001	233226
오리까	-오리까	final	-	459339:459339001	467133
오리다	-오리다|-오리다02	final	-	240586:240586001	17698|49281
오리이까	-오리이까	final	-	461651:461651001	356681
오리이다	-오리이다	final	-	241452:241452001	466810
오이까	-오이까	final	-	518960:518960001	1359714
오이다	-오이다	final	-	461242:461242001	540476
올습니다	-올습니다	final|unclassified	-	238821:238821001	235285
올시다	-올시다	final	-	238823:238823001	235286
옵	-옵|-옵-	unclassified	86109	463821:463821001	235741|430148|467077
옵나이까	-옵나이까	final	-	464054:464054001	393399
옵나이다	-옵나이다	final	-	245339:245339001	235742
옵니까	-옵니까	final	-	464055:464055001	235743
옵니다	-옵니다	final	-	245340:245340001	540667
옵디까	-옵디까	final	-	464056:464056001	467078
옵디다	-옵디다	final	-	248178:248178001	235744
옵소서	-옵소서	final	-	464117:464117001	235928
옵시	-옵시-	unclassified	-	246764:246764001	503872
와	-와|-와04	unclassified	-	459714:459714001	356640|429840|577117
외다	-외다|-외다04	unclassified	-	241788:241788001	239663
요	-요|-요-|-요15	connective|unclassified	86117	243541:243541001	238874|577767
우	-우|-우-|-우15|-우16	final|unclassified	86113	249179:249179001|464919:464919001	238287|238288|504159
으께	-으께	final|unclassified	-	257235:257235001	542140
으나	-으나	connective|unclassified	80160	262049:262049001	19915|51929|66759
으나마	-으나마	connective	80164	467761:467761001	249651
으냐	-으냐	final	76235	262342:262342001	249652
으냐고	-으냐고|-으냐고01	final|unclassified	79258	467762:467762001	19916|51930|542141
으냐느니	-으냐느니	connective	88987	-	-
으뇨	-으뇨	final	-	470486:470486001	468672
으니	-으니|-으니01|-으니02|-으니03|-으니04	connective|final|unclassified	80142|80836|80851|89396	262907:262907001|262908:262908001|470591:470591001|470592:470592001	1392171|249849|249850|249851|249852|394979|479963|483428
으니까	-으니까	connective|unclassified	80137	470593:470593001	542173
으니까느루	-으니까느루	unclassified	-	262911:262911001	578980
으니까는	-으니까는	connective|unclassified	80148	262912:262912001	468674
으니깐	-으니깐	connective|unclassified	80154	255917:255917001	505476
으니라	-으니라	final|unclassified	86126	467852:467852001	249854|249855
으니라고	-으니라고	final	-	533593:533593001	1392170
으니만치	-으니만치	connective	-	467853:467853001	249856
으니만큼	-으니만큼	connective	85728	255919:255919001	394980
으되	-으되	connective	80291	468157:468157001	20068|51195|66806
으라	-으라	final|unclassified	80715	261285:261285001	19445|505151|51374
으라고	-으라고|-으라고01|-으라고02	connective|final	80875|87174	261286:261286001|534430:534430001	1753076|19578|51498
으라나	-으라나	final	80882	261287:261287001	394662
으라느니	-으라느니	connective	86080	468333:468333001	358158
으라니까	-으라니까	final	74690	261182:261182001	541882
으라며	-으라며	final|unclassified	81479	468230:468230001	468400
으라면서	-으라면서	final	78808	468231:468231001	247192
으라손	-으라손	connective	-	261442:261442001	247193
으락	-으락	connective	89695	467938:467938001	247195
으란	-으란	unclassified	-	261447:261447001	394681
으람	-으람	final	73884	261986:261986001	431489
으랴	-으랴|-으랴01|-으랴02	connective|final	79261|80306	261995:261995001|471974:471974001	247393|369552|373084
으랴마는	-으랴마는	connective	-	262012:262012001	247394
으러	-으러	connective	80303	262013:262013001	247395
으려	-으려	connective	80304	262016:262016001	19738|51660
으려거든	-으려거든	connective	80336	262309:262309001	247615
으려고	-으려고	connective|final	69067	471791:471791001	481109|484600|505219
으려나	-으려나	final	79263	262592:262592001	394722
으려니	-으려니	final|unclassified	86601	471962:471962001	247622|578730
으려니와	-으려니와	connective	86084	471963:471963001	406033|409623
으려든	-으려든	connective	-	468514:468514001	247824
으려마	-으려마	unclassified	-	267358:267358001	578761
으려면	-으려면	connective	80312	468515:468515001	516700|520252|521913
으려무나	-으려무나	final	79265	267609:267609001	578762
으련	-으련	final	76567	472010:472010001	247827
으련마는	-으련마는	connective	86602	267614:267614001	247829
으련만	-으련만	connective|unclassified	86603	472011:472011001	247830
으렴	-으렴	final	79343	267616:267616001	247831
으렵니까	-으렵니까	final	86604	264874:264874001	468487
으렵니다	-으렵니다	final	86605	264875:264875001	248032
으렷다	-으렷다	final	79270	472174:472174001	19844|51816
으리	-으리|-으리-|-으리-01|-으리02	final|unclassified	86606|86607	259436:259436001|466900:466900001	20151|20152|248256|51274|51275|67002
으리까	-으리까	final	-	466886:466886001	20153|51276
으리니	-으리니	connective	-	259438:259438001	19556|50822
으리니라	-으리니라	final	-	255462:255462001	431583
으리다	-으리다	final	-	259749:259749001	442954|446543
으리라	-으리라	final	79281	470686:470686001	553333|556813
으리로다	-으리로다	final|unclassified	-	470700:470700001	19557|248258|50823
으리만치	-으리만치	connective	-	255481:255481001	431584
으리만큼	-으리만큼	connective	86608	255482:255482001	248260
으리오	-으리오	final|unclassified	79283	256104:256104001	248461|394802
으마	-으마	final|unclassified	76233	467095:467095001	248464|248465
으매	-으매	connective	86086	467108:467108001	578823
으며	-으며	connective	80257	256123:256123001	19719|50997
으면	-으면	connective	80262	467079:467079001	479936|483421|485122|485545
으면서	-으면서	connective	80267	256660:256660001	19720|50998
으므로	-으므로	connective	80270	470520:470520001	248649
으사	-으사	unclassified	-	256679:256679001	248654
으사이다	-으사이다	final	-	470513:470513001	542048
으세	-으세	final	78434	467085:467085001	248847
으세나	-으세나	final	-	535737:535737001	1817859
으세요	-으세요	final|unclassified	86609	261778:261778001	394856
으셔요	-으셔요	final|unclassified	86611	261779:261779001	248848
으소서	-으소서	final	80927	467087:467087001	394857
으시	-으시|-으시-	unclassified	80329	255921:255921001	249254|249255|358391
으시라	-으시라	final	-	467856:467856001	249259
으시압	-으시압	final	-	467858:467858001	249262
으시어요	-으시어요	final	86612	255927:255927001	249437
으십사	-으십사	final	80937	465366:465366001	249440
으십시다	-으십시다	final	68887	256228:256228001	249441
으십시오	-으십시오	final	66348	256229:256229001	505424
으오	-으오|-으오-|-으오-01|-으오02	final|unclassified	86108|86114	256813:256813001|473628:473628001	249657|249658
으오니까	-으오니까	final	-	256814:256814001	468655
으오리까	-으오리까	final	-	470866:470866001	249659
으오리다	-으오리다	final	-	257091:257091001	553326|556886
으오리이까	-으오리이까	final	-	261290:261290001	468656
으오리이다	-으오리이다	final	-	261291:261291001	358434
으오이다	-으오이다	final	-	261292:261292001	505454
으옵	-으옵-	unclassified	86110	468334:468334001	249660
으옵나이까	-으옵나이까	final	-	258474:258474001	431758
으옵나이다	-으옵나이다	final	-	468335:468335001	249661
으옵니까	-으옵니까	final	-	258742:258742001	358435
으옵니다	-으옵니다	final	-	468518:468518001	578981
으옵디까	-으옵디까	final	-	258743:258743001	249857
으옵디다	-으옵디다	final	-	467133:467133001	249858
으옵소서	-으옵소서	final	-	258744:258744001	249859
으옵시	-으옵시-	unclassified	-	258745:258745001	431790
으와	-으와	unclassified	-	467134:467134001	505477
으외다	-으외다	unclassified	-	258746:258746001	542174
으우	-으우	final	86115	261451:261451001	249860
으이	-으이	final|unclassified	80950	261465:261465001	249862|394981
은	-은|-은05	unclassified	80344	264585:264585001	516707|520172|521895
은가	-은가|-은가02	final	86125	264587:264587001	1818801|19920|51079
은감	-은감|-은감02	final	73888	263793:263793001	247206
은걸	-은걸	final	81040	473112:473112001	553381|556849
은고	-은고|-은고03	final	73901	470081:470081001	20076|51203
은데	-은데	connective|final	85633	256952:256952001	1359700|248049|600413
은뎁쇼	-은뎁쇼	final	-	467764:467764001	541975
은들	-은들	connective	80345	261509:261509001	248277
은바	-은바	connective	87112	473053:473053001	19881|51822
은즉	-은즉	connective	-	470293:470293001	578803
은즉슨	-은즉슨	unclassified	-	261798:261798001	358272
은지	-은지|-은지04	connective|final	87432	470679:470679001	479915|483474
은지고	-은지고	final	-	261802:261802001	442948|446612
은지라	-은지라	connective	-	262056:262056001	369548|373091
을	-을|-을03	unclassified	69058	260707:260707001	332860|336336
을거나	-을거나	final	80970	260978:260978001	247022
을걸	-을걸	final	76475	261623:261623001	406020|409606
을게	-을게	final	80981	473297:473297001	431441
을까	-을까	final	86120	469812:469812001	19882|51823
을깝쇼	-을깝쇼	final	-	262164:262164001	247216
을께	-을께	final|unclassified	-	262165:262165001	431468
을꼬	-을꼬	final	81026	469813:469813001	19883|51824
을는지	-을는지	connective|final	86615	262178:262178001	407267|410859|431469
을데라니	-을데라니	final	-	262180:262180001	247220
을라	-을라	final|unclassified	77346	469649:469649001	247221|247222|394683
을라고	-을라고	final	79416	259769:259769001	394684
을라치면	-을라치면	connective	86616	255495:255495001	247224
을락	-을락	connective|unclassified	85782	466863:466863001	247225|505182
을래	-을래	final	81065	255513:255513001	247429
을러니	-을러니	connective	-	466880:466880001	358176
을러라	-을러라	final	-	262369:262369001	247439
을런가	-을런가	final	-	262372:262372001	247651
을런고	-을런고	unclassified	-	471803:471803001	247652
을런지	-을런지	connective|final|unclassified	-	262033:262033001	1268571|1268572|505223
을레	-을레	final	-	266470:266470001	468443
을레라	-을레라	final	-	266471:266471001	247653
을려고	-을려고	connective|final|unclassified	-	473232:473232001	1268574|1268576|431521
을망정	-을망정	connective	80274	473234:473234001	247658
을밖에	-을밖에	final	85772	267057:267057001	468468
을뿐더러	-을뿐더러	connective	74021	472009:472009001	247861
을사	-을사|-을사03	final	-	264577:264577001	51329
을새	-을새	connective	-	469720:469720001	541952
을세	-을세|-을세01|-을세02	final	79279	264580:264580001|264581:264581001	358248|479922|483412
을세라	-을세라	connective|final	86619	266229:266229001	248062|30565|62582
을세말이지	-을세말이지	final	-	473127:473127001	541977
을소냐	-을소냐	unclassified	-	266230:266230001	541978
을손가	-을손가	final|unclassified	-	266231:266231001	578780
을수록	-을수록	connective	74356	266232:266232001	358249
을시	-을시|-을시02	unclassified	-	473312:473312001	248064
을시고	-을시고	final	-	266506:266506001	248065
을싸록	-을싸록	connective|unclassified	-	266507:266507001	248066
을쏘냐	-을쏘냐	unclassified	-	266509:266509001	541979
을쏜가	-을쏜가	final	-	469778:469778001	248068
을이만큼	-을이만큼	connective|unclassified	-	469891:469891001	358275
을작시면	-을작시면	connective	-	469894:469894001	431589
을지	-을지	connective|final	86133	261887:261887001	19723|51001
을지나	-을지나	connective	-	468958:468958001	505316
을지니	-을지니	connective	-	261888:261888001	248503
을지니라	-을지니라	final	-	468959:468959001	358300
을지라	-을지라	final	-	261889:261889001	505317
을지라도	-을지라도	connective	77049	468947:468947001	394808
을지로다	-을지로다	final	-	261890:261890001	248504
을지며	-을지며	connective	-	261897:261897001	248505
을지어다	-을지어다	final	-	261899:261899001	468565
을지언정	-을지언정	connective	77050	468949:468949001	358328
을진대	-을진대	connective	-	262182:262182001	248683
을진대는	-을진대는	unclassified	-	262183:262183001	248684
을진댄	-을진댄	unclassified	-	262464:262464001	394837
을진저	-을진저	final	-	469814:469814001	394838
음	-음|-음08	unclassified	78528	466648:466648001	1368210|248892
음세	-음세|-음세02	final	78496	468964:468964001	578828
음에도	-음에도	connective	78531	-	-
음에랴	-음에랴	final	-	256548:256548001	394985
읍늰다	-읍늰다	final|unclassified	-	256581:256581001	249730
읍니까	-읍니까	final|unclassified	-	256582:256582001	249731
읍니다	-읍니다	final|unclassified	-	256846:256846001	578963
읍디까	-읍디까	final|unclassified	-	256850:256850001	431801
읍디다	-읍디다	final|unclassified	-	256853:256853001	249919
읍딘다	-읍딘다	final|unclassified	-	256855:256855001	249921
읍쇼	-읍쇼	unclassified	-	257452:257452001	246634
읍시다	-읍시다	final	68880	470851:470851001	246635
읍시사	-읍시사	final	-	257454:257454001	246637
읍시오	-읍시오	final	-	470852:470852001	541808
읍죠	-읍죠	final|unclassified	-	258052:258052001	431397
읍지요	-읍지요	final|unclassified	-	258056:258056001	246652
의	-의|-의11	unclassified	-	267238:267238001	247069|541869
이	-이|-이-|-이26	final|unclassified	80952	267404:267404001	247549|541914
자	-자|-자22|-자23|-자24	connective|final	76236|83895|86134	281805:281805001|281806:281806001|471846:471846001	253562|253563|406072|409550|411359
자고	-자고|-자고09	connective|final	81082|83893	476095:476095001	20280|51246
자구	-자구|-자구10	final|unclassified	-	274800:274800001	1268744|20534|256117|52454
자꾸나	-자꾸나	final	81076	274632:274632001	469257
자나	-자나|-자나02	final	-	535748:535748001	1818798
자느니	-자느니	connective	86070	474835:474835001	359120
자니까	-자니까	final	74689	472485:472485001	255946
자마자	-자마자	connective	80340	472556:472556001	395568
자며	-자며	final|unclassified	81474	269458:269458001	256168
자면	-자면|-자면03	connective	80338	269727:269727001	469347
자면서	-자면서	final	78809	270021:270021001	469348
자손	-자손|-자손02	connective	-	269776:269776001	259749
자오	-자오-|-자오-03	unclassified	-	471776:471776001	257308
자옵	-자옵-	unclassified	-	270315:270315001	257489
자옵시	-자옵시-	unclassified	-	473522:473522001	543046
잡	-잡-|-잡-02	unclassified	-	475631:475631001	258781
죠	-죠	final|unclassified	85771	301869:301869001	434792
지	-지|-지-|-지23|-지24	connective|final|unclassified	78636|86135	305791:305791001|485613:485613001	23966|279797|279798|471970|54991|582341
지마는	-지마는	connective	78637	309042:309042001	1818779|1818780|1818781|1818782|278086
지만	-지만|-지만05	connective|unclassified	78638	486434:486434001	1818793|1818794|1818795|1818796|278302
지만서도	-지만서도	connective|unclassified	-	305660:305660001	23991|55231
지요	-지요|-지요05	final	85770	315015:315015001	545483
